employee_id,name,age,salary,join_date,department,gender,country,city,weight_kg,is_active,review,price,target
12369,Hasan D.,41.0,35149.0,2023-05-30,Sales,Male,United States,Sylhet,118.4,True,No Review,219.18,0
7361,Grace P.,41.0,77836.0,2017-02-27,Engineering,Female,United States,Chattogram,71.0,True,No Review,329.26,0
3446,Eve D.,20.0,35404.0,2022-01-18,Hr,Male,Bangladesh,Chattogram,98.7,True,No Review,438.6,0
18416,Diana E.,47.0,107375.0,2017-04-15,Marketing,Male,United Kingdom,Khulna,86.8,True,No Review,238.03,0
13677,Ira W.,64.0,55962.0,2021-11-02,Sales,Female,United Kingdom,Dhaka,83.5,True,No Review,9.4,0
458,Frank Y.,38.0,88527.0,2022-08-16,Marketing,Male,United Kingdom,Sylhet,95.8,True,No Review,213.25,0
16484,John Q.,25.0,109079.0,2020-09-10,Hr,Female,United States,Chattogram,125.2,True,No Review,19.35,0
12951,Charlie K.,22.0,91118.0,2010-01-12,Finance,Female,United Kingdom,Rajshahi,87.9,True,No Review,419.0,0
13108,Diana V.,43.0,88859.0,2017-07-12,Marketing,Male,United States,Khulna,73.8,True,No Review,430.17,0
14925,Alice C.,41.0,46627.0,2012-01-12,Sales,Female,United States,Khulna,110.7,True,No Review,429.27,0
10417,Hasan D.,44.0,70027.0,2020-08-24,Engineering,Female,United Kingdom,Sylhet,115.9,True,No Review,128.46,0
13797,John G.,39.0,89568.0,2011-11-07,Engineering,Female,Bangladesh,Chattogram,112.7,True,No Review,448.71,1
2158,Grace M.,51.0,80277.0,2011-03-10,Finance,Male,Bangladesh,Dhaka,64.0,True,No Review,285.54,0
13334,Hasan L.,50.0,41141.0,2021-11-19,Finance,Female,United Kingdom,Khulna,104.9,True,No Review,302.48,0
3800,Bob I.,19.0,119822.0,2012-03-08,Sales,Female,United States,Chattogram,52.0,True,No Review,366.72,0
3555,Charlie R.,60.0,32456.0,2015-02-06,Engineering,Female,United States,Rajshahi,78.3,True,No Review,393.84,0
4901,Hasan M.,24.0,33558.0,2017-03-06,Marketing,Female,United States,Khulna,121.2,True,No Review,73.45,0
317,Charlie B.,46.0,93280.0,2020-08-20,Engineering,Female,United States,Sylhet,102.8,True,No Review,67.27,0
9057,Hasan S.,35.0,58839.0,2023-03-06,Hr,Male,United States,Khulna,123.6,True,No Review,159.79,0
18372,Diana O.,42.0,40721.0,2017-07-12,Hr,Male,United States,Khulna,74.6,True,No Review,244.98000000000002,0
6499,Grace R.,31.0,71553.0,2014-08-17,Marketing,Female,Bangladesh,Khulna,73.5,True,No Review,244.98000000000002,0
6603,Grace O.,52.0,102031.0,2017-07-12,Finance,Male,United States,Rajshahi,83.1,True,No Review,255.73,0
18274,John Z.,60.0,100843.0,2022-10-21,Finance,Male,Bangladesh,Khulna,118.0,True,No Review,373.1,0
1085,Ira K.,24.0,85159.0,2013-12-11,Hr,Male,Bangladesh,Chattogram,120.0,True,No Review,168.77,0
14500,John L.,36.0,59685.0,2022-05-28,Finance,Female,United Kingdom,Chattogram,61.9,True,No Review,474.57,0
12508,Hasan K.,41.0,87774.0,2016-03-10,Hr,Female,United Kingdom,Khulna,121.9,True,No Review,154.41,1
17065,Frank X.,18.0,74804.0,2016-11-11,Sales,Female,United States,Khulna,102.6,True,No Review,198.44,0
3529,Alice T.,32.0,74404.5,2019-10-22,Sales,Male,United States,Chattogram,68.1,True,No Review,6.05,1
12016,Diana M.,55.0,108592.0,2016-11-16,Hr,Male,Bangladesh,Khulna,92.6,True,No Review,478.86,0
250,Frank U.,56.0,90635.0,2013-05-12,Sales,Male,Bangladesh,Dhaka,107.3,True,No Review,342.24,1
16479,Ira A.,39.0,104221.0,2019-01-20,Sales,Male,United States,Rajshahi,50.5,True,No Review,276.95,0
6024,Hasan F.,23.0,44772.0,2019-11-04,Finance,Male,United States,Rajshahi,125.3,True,No Review,302.35,0
18817,Ira Z.,53.0,102244.0,2020-06-05,Sales,Female,United States,Sylhet,62.5,True,No Review,317.36,0
16010,Grace Q.,23.0,61246.0,2017-07-12,Finance,Female,United States,Dhaka,98.8,True,No Review,388.1,0
1453,Grace J.,46.0,106907.0,2022-11-03,Sales,Female,United States,Chattogram,65.2,True,No Review,87.2,0
19202,Grace W.,61.0,41850.0,2014-09-02,Hr,Male,Bangladesh,Sylhet,97.8,True,No Review,145.38,0
2911,Alice S.,31.0,88711.0,2019-02-01,Finance,Male,United States,Sylhet,50.2,True,No Review,22.27,0
8597,John F.,62.0,77669.0,2019-02-01,Sales,Male,Bangladesh,Sylhet,128.3,True,No Review,396.85,0
5981,Diana E.,60.0,41156.0,2014-09-09,Finance,Female,United States,Sylhet,74.0,True,No Review,78.03,0
945,Bob A.,41.0,77313.0,2012-04-03,Hr,Female,Bangladesh,Khulna,65.8,True,No Review,151.15,0
49,John L.,58.0,50810.0,2024-07-22,Hr,Female,United Kingdom,Dhaka,108.8,True,No Review,83.46,0
13596,Alice P.,57.0,81158.0,2017-07-12,Finance,Female,United States,Sylhet,108.5,True,No Review,401.52,0
2417,Diana D.,34.0,52604.0,2016-07-13,Engineering,Male,United Kingdom,Khulna,118.4,True,No Review,142.85,0
16094,Eve B.,62.0,81806.0,2017-12-07,Finance,Female,United States,Chattogram,70.3,True,No Review,321.32,0
6213,Hasan Q.,30.0,77025.0,2018-04-07,Marketing,Male,United States,Chattogram,77.0,True,No Review,337.33,0
11384,Alice O.,41.0,86613.0,2018-04-07,Sales,Male,United Kingdom,Rajshahi,104.0,True,No Review,444.08,0
11909,Diana V.,41.0,47789.0,2014-02-20,Engineering,Male,United States,Khulna,111.9,True,No Review,496.46,0
3453,Eve H.,25.0,62659.0,2018-06-11,Marketing,Female,United States,Chattogram,129.0,True,No Review,405.09,0
13959,John H.,41.0,163212.0,2022-11-22,Marketing,Male,United States,Dhaka,55.2,True,No Review,244.98000000000002,0
679,Alice S.,54.0,33282.0,2017-07-12,Sales,Male,United States,Dhaka,78.2,True,No Review,100.6,1
8847,Bob Q.,46.0,109817.0,2018-06-25,Engineering,Male,United Kingdom,Sylhet,53.7,True,No Review,320.08,0
11964,Grace T.,55.0,89090.0,2015-08-26,Sales,Male,United Kingdom,Sylhet,108.0,True,No Review,136.91,0
1957,Hasan I.,42.0,89765.0,2023-11-15,Finance,Male,United Kingdom,Rajshahi,121.0,True,No Review,244.98000000000002,0
10075,Grace D.,44.0,118506.0,2022-09-21,Finance,Male,Bangladesh,Khulna,113.2,True,No Review,192.94,1
13007,Ira W.,58.0,54515.0,2020-06-20,Finance,Male,Bangladesh,Sylhet,98.4,True,No Review,474.02,1
12691,Bob U.,23.0,74404.5,2024-09-20,Sales,Female,United States,Rajshahi,59.6,True,No Review,259.36,0
5824,Charlie W.,50.0,67807.0,2017-03-29,Sales,Male,United States,Dhaka,53.3,True,No Review,264.36,0
2089,Alice U.,28.0,114661.0,2021-03-14,Finance,Female,Bangladesh,Sylhet,123.8,True,No Review,129.64,0
11320,Eve P.,61.0,72620.0,2016-03-06,Marketing,Male,United Kingdom,Sylhet,107.9,True,No Review,33.77,0
11929,John W.,32.0,76958.0,2017-07-12,Hr,Female,United Kingdom,Sylhet,86.4,True,No Review,186.83,0
